Model,Scenario,Region,Variable,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
State of CDR (2024) - Research and Development,Observed Data,World,Research|Removal|Patents|Afforestation and Reforestation,,11,5,7,12,9,13,14,10,14,14,20,11,21,22,16,17,22,14,18.5,14,14.5,3,0
State of CDR (2024) - Research and Development,Observed Data,World,Research|Removal|Patents|Agroforestry,,0,1,1,2,2,0,0,1,2,1,0,0,3,3,2,4,3,1,0,3,1,0,0
State of CDR (2024) - Research and Development,Observed Data,World,Research|Removal|Patents|Biochar,,3,3,3,4,2,9,7,9,13,16.5,21,25.5,15.5,20,24.5,24,22,16,16,18,11,3,0
State of CDR (2024) - Research and Development,Observed Data,World,Research|Removal|Patents|Bioenergy with CCS,,9,14,8,8,17,20,37,45,65,59,84,73.5,69.5,39.5,45,44,28,25,15,10.5,7.5,0,0
State of CDR (2024) - Research and Development,Observed Data,World,Research|Removal|Patents|Coastal Wetland Restoration,,0,1,2,5,3,5,1,0,2,3,2,3,2,7,3,5,7,5,8,8,5,1,0
State of CDR (2024) - Research and Development,Observed Data,World,Research|Removal|Patents|Direct Air Capture with CCS,,1,3,2,3,7,4,4,8,2,1,5,6,3,6,3,4,7,8,3,2.5,1,0,0
State of CDR (2024) - Research and Development,Observed Data,World,Research|Removal|Patents|Enhanced Weathering,,5.5,7.5,5,5,3,8,4,10.5,6,9,10,21,9,10,14,8,9,5,2,2,1,0,0
State of CDR (2024) - Research and Development,Observed Data,World,Research|Removal|Patents|Ocean Alkalinity Enhancement,,0.5,0.5,0,0,1,0,0,2.5,3,6,3,1,5,2,5,2,1,2,0,3,1,0,0
State of CDR (2024) - Research and Development,Observed Data,World,Research|Removal|Patents|Ocean Fertilization,,1,1,1,1,0,1,0,6,3,2,0,2,2,2,0,2,0,1,0,0,2,0,0
State of CDR (2024) - Research and Development,Observed Data,World,Research|Removal|Patents|Peatland Restoration,,0,0,1,1,0,1,0,1,1,2,1,1,0,1,1,2,3,2,4,8,1,0,0
State of CDR (2024) - Research and Development,Observed Data,World,Research|Removal|Patents|Soil Carbon Sequestration,,3,2,2,4,2,3,3,4,4,8.5,6,5,5,3.5,7.5,7,9,5,5,3,3,0,0